Company name,LA type,Start date,End date
Geovert Ground Engineering Pty Ltd,Company Specific,15-Dec-2022,14-Dec-2027
Milskil Pty Ltd,Company Specific,12-Jul-2023,11-Jul-2028
Lee Fishing Company Pty Ltd,Industry - Fishing,13-Jul-2023,12-Jul-2028
Rockfish 1 Pty Limited,Industry - Fishing,28-Nov-2022,27-Nov-2027
HARVEY INDUSTRIES GROUP PTY LTD,Skilled Refugee Pilot,23-Jan-2023,22-Jan-2028
Macro Meat Processing Pty Ltd,Industry - Meat,09-Feb-2023,08-Feb-2028
Teys Australia Naracoorte Pty Ltd,South Australia Regional DAMA,05-Jan-2022,04-Jan-2027
Wodonga Rendering Pty Ltd,Industry - Meat,28-Feb-2022,27-Feb-2027
Queensland Police Service,Company Specific,06-Feb-2023,05-Feb-2028
Ararat Abattoirs Pty Ltd,Industry - Meat,25-Oct-2022,24-Oct-2027
FLETCHER INTERNATIONAL EXPORTS PTY LTD,Orana DAMA,16-Feb-2023,15-Feb-2028
FLIGHT CENTRE TRAVEL GROUP LIMITED,GTS - Established business,22-Mar-2023,21-Mar-2028
THE BUDDHIST SOCIETY OF WA (INC.),Industry - Minister of Religion,22-Jun-2023,21-Jun-2028
NOSKE-KAESER MARINE AUSTRALIA PTY LTD,Adelaide City Tech and Innovation DAMA,25-Feb-2020,24-Feb-2025
Teys Australia Beenleigh Pty Ltd,Industry - Meat,12-May-2023,11-May-2028
TEYS AUSTRALIA BILOELA PTY LTD,Industry - Meat,12-May-2023,11-May-2028
Teys Australia Central Qld Pty Ltd,Industry - Meat,08-May-2023,07-May-2028
Dtown Group Pty Ltd,Northern Territory DAMA,27-Jul-2020,26-Jul-2025
Energy Resourcing Australia Pty Limited,Industry - On-Hire,01-Sep-2020,30-Aug-2025
ASC PTY LTD,Company Specific,16-Apr-2021,15-Apr-2026
Auspork Australia Pty Ltd,Industry - Meat,17-May-2021,16-May-2026
Australia Bay Seafoods Pty Ltd,Industry - Fishing,17-Mar-2021,16-Mar-2026
Australian Episcopal Conference of the Roman Catholic Church,Company Specific,22-Apr-2021,21-Apr-2026
AUSTRALIAN VINTAGE LTD,GTS - Established business,25-Feb-2021,24-Feb-2026
BARDOC GOLD LIMITED,Goldfields DAMA,23-Feb-2021,22-Feb-2026
BETTAFIELD PIGGERY PTY LTD,Industry - Pork,23-Feb-2021,22-Feb-2026
BJSS Australia Pty Ltd,GTS - Established business,28-Apr-2021,27-Apr-2026
Bolt Scaffolding Pty Ltd,Company Specific,11-May-2021,10-May-2026
Cape Australia Holdings Pty Ltd,Company Specific,17-Mar-2021,16-Mar-2026
CEFN PTY LTD,Industry - Pork,22-Mar-2021,21-Mar-2026
CHACEON PTY LTD,Industry - Fishing,30-Mar-2021,29-Mar-2026
CONCEPT CARE DISABILITY SOLUTIONS PTY LTD,Company Specific,03-May-2020,02-May-2025
CONDI PTY LTD,Industry – Premium Dining,17-Mar-2021,16-Mar-2026
Department of Defence,Company Specific,30-Mar-2021,29-Mar-2026
DONVALE PRESBYTERIAN CHURCH,Industry - Minister of Religion,17-Mar-2021,17-Mar-2026
DRA Pacific Pty Ltd,GTS - Established business,15-Mar-2021,14-Mar-2026
EVANGELICAL FREE CHURCH OF AUSTRALIA,Industry - Minister of Religion,10-Mar-2021,09-Mar-2026
EXMOUTH CHRISTIAN FELLOWSHIP,Industry - Minister of Religion,10-Mar-2021,09-Mar-2026
FLICK ANTICIMEX PTY LTD,GTS - Established business,17-May-2021,16-May-2026
Food Security International Pty Ltd,Industry - Pork,11-May-2021,10-May-2026
Free Reformed Church of Legana,Industry - Minister of Religion,05-Mar-2021,04-Mar-2026
GEORGE WESTON FOODS LIMITED,Company Specific,12-Apr-2021,11-Apr-2026
HAMPTON TRANSPORT SERVICES PTY LTD,Goldfields DAMA,13-May-2021,12-May-2026
KL Fishing Pty Ltd,Industry - Fishing,03-May-2021,02-May-2026
KLOKAN FISHING PTY LTD,Industry - Fishing,11-May-2021,12-May-2026
KTE Mining Services Pty Ltd,Goldfields DAMA,13-May-2021,12-May-2026
Little Possums Childcare & Early Learning Centre Pty Ltd,Orana DAMA,25-Feb-2021,24-Feb-2026
Manpower Services (Australia) Pty Ltd,Industry - On-Hire,01-Mar-2021,28-Feb-2026
Monash University,GTS - Established business,31-Mar-2021,30-Mar-2026
MPJS PTY LTD,Industry - Fishing,31-Mar-2021,30-Mar-2026
NETWORK NURSING AGENCY PTY LTD,Industry - On-Hire,02-Mar-2021,01-Mar-2026
NORTHPOINTE BAPTIST CHURCH INCORPORATED,Industry - Minister of Religion,16-Apr-2021,14-Apr-2026
ONE2ONE GILLIES STREET CHURCH OF CHRIST,Industry - Minister of Religion,05-Mar-2021,04-Mar-2026
ONG NOMINEES (WA) PTY LTD,Goldfields DAMA,28-Apr-2021,27-Apr-2026
PERTH CHINESE CHRISTIAN CHURCH,Industry - Minister of Religion,19-Mar-2021,18-Mar-2026
POLYGLOT GROUP PTY LIMITED,Industry - On-Hire,31-Mar-2021,30-Mar-2026
Reliable Nursing Agency Pty Ltd,Industry - On-Hire,30-Mar-2021,29-Mar-2026
RISEN ENERGY (AUSTRALIA) PTY LTD,GTS - Established business,06-May-2021,05-May-2026
Ryans Management Pty Ltd,Great South Coast DAMA,06-May-2021,05-May-2026
SAI HS KALYAN PTY LTD,Northern Territory DAMA,05-Mar-2021,04-Mar-2026
St Joseph's Catholic College,Northern Territory DAMA,29-Apr-2021,28-Apr-2026
Swoop Aero Pty Ltd,GTS - Start up,17-Mar-2021,16-Mar-2026
The Green Gallery Pty Ltd,Industry - Horticulture,16-Apr-2021,15-Apr-2026
Rugby Employment Pty Ltd,Industry - Horticulture,05-May-2021,04-May-2026
The Trustee for the G H A L & A T Bremner Produce Trust,Industry - Horticulture,28-Apr-2021,27-Apr-2026
VINCENT CIRILLO & PATRICIA CIRILLO,Industry - Horticulture,03-May-2021,02-May-2026
VOYAGER SEAFOODS PTY LTD,Industry - Fishing,19-Mar-2021,18-Mar-2026
West Hills Farm Pty Ltd,Industry - Horticulture,29-Apr-2021,28-Apr-2026
A.J GALLO & J.A GALLO,Far North Queensland DAMA,10-Aug-2021,09-Aug-2026
Accenture Australia Holdings Pty Ltd,Skilled Refugee Pilot,06-Aug-2021,05-Aug-2026
ACTS GLOBAL CHURCHES LIMITED,Industry - Minister of Religion,24-Jun-2021,23-Jun-2026
AGRIFRESH PTY LTD,Industry - Horticulture,02-Aug-2021,01-Aug-2026
Ahmadiyya Muslim Association Australia,Industry - Minister of Religion,01-Jul-2021,30-Jun-2026
AL SIRAAT COLLEGE INC,Industry - Minister of Religion,08-Sep-2021,07-Sep-2026
ALJOTA PTY LTD,Industry - Pork,23-Aug-2021,22-Aug-2026
ALL ABOUT PIZZA PTY LTD,Northern Territory DAMA,01-Jul-2021,30-Jun-2026
ALL FENCE & GATES (NT) PTY LTD,Northern Territory DAMA,19-Jul-2021,18-Jul-2026
ALL RUBBER TMH PTY LTD,Company Specific,16-Jul-2021,15-Jul-2026
ALL RUBBER TMH PTY LTD,Goldfields DAMA,15-Jul-2021,14-Jul-2026
AMDOCS (AUSTRALIA) PTY LTD,GTS - Established business,29-Jun-2021,28-Jun-2026
AMIGOS MEXICAN CANTINA PTY LTD,Northern Territory DAMA,26-Jul-2021,25-Jul-2026
ARABIC PRESBYTERIAN CHURCH,Industry - Minister of Religion,12-Jul-2021,11-Jul-2026
AUSTRALIAN FOOD GROUP PTY LTD,Industry - Meat,17-Jun-2021,16-Jun-2026
Bluemar Pty Ltd,Skilled Refugee Pilot,13-Jul-2021,12-Jul-2026
BMS Heavy Cranes Australia Pty Ltd,Company Specific,11-Aug-2021,10-Aug-2026
Bohemia Group Pty Ltd,Industry - Advertising,06-Jul-2021,05-Jul-2026
Boston Scientific Pty Ltd,GTS - Established business,24-Aug-2021,23-Aug-2026
BRISBANE BUDDHIST VIHARA (TEMPLE) INC,Industry - Minister of Religion,02-Aug-2021,01-Aug-2026
Cadopen Pty. Ltd.,Industry - Meat,01-Jul-2021,30-Jun-2026
CAIRNS BUNGY CENTRE PTY. LTD.,Far North Queensland DAMA,02-Jun-2021,01-Jun-2026
BW THOMAS NOMINEES PTY LTD ATF BW THOMAS FAMILY TRUST AND HELEN JOANNA THOMAS AND WAYNE MICHAEL THOMAS,South Australia Regional DAMA,15-Sep-2021,14-Sep-2026
Canberra Austral-Asian Christian Church Inc,Industry - Minister of Religion,13-Sep-2021,12-Sep-2026
Canning Orchard Pty Ltd,Company Specific,09-Aug-2021,08-Aug-2026
CHANCELLOR PARK COMMUNITY CHURCH,Industry - Minister of Religion,10-Sep-2021,09-Sep-2026
CHE PROXIMITY PTY LTD,Industry - Advertising,16-Jun-2021,15-Jun-2026
CO.AS.IT. - ITALIAN ASSISTANCE ASSOCIATION,Company Specific,21-Sep-2021,20-Sep-2026
Cooktown Bowls Club Incorporated,Far North Queensland DAMA,25-Aug-2021,24-Aug-2026
DISCIPLES CHURCH INCORPORATED,Industry - Minister of Religion,13-Jul-2021,12-Jul-2026
DIXIE RIDGE FARM PTY LTD,Great South Coast DAMA,12-Jul-2021,11-Jul-2026
DUBPLAST PTY LIMITED,Orana DAMA,25-Jun-2021,24-Jun-2026
Emerge Church Ltd,Industry - Minister of Religion,09-Jul-2021,08-Jul-2026
EVERY HOME GLOBAL CONCERN LIMITED,Industry - Minister of Religion,29-Jun-2021,28-Jun-2026
EVERY NATION MELBOURNE INC,Industry - Minister of Religion,11-Jun-2021,10-Jun-2026
Faith Baptist Christian School,Industry - Minister of Religion,15-Jul-2021,14-Jul-2026
Familiga Pty Ltd,Northern Territory DAMA,04-Aug-2021,03-Aug-2026
Fannie Bay Cool Spot Pty Ltd,Northern Territory DAMA,22-Jun-2021,21-Jun-2026
FOR YOUNG SYNERGY PTY LTD,Adelaide City Tech and Innovation DAMA,15-Jul-2021,14-Jul-2026
Fortune Coffee Pty Ltd,Northern Territory DAMA,13-Sep-2021,12-Sep-2026
FRANKLIN TEMPLETON INVESTMENTS AUSTRALIA LTD,GTS - Established business,22-Jun-2021,21-Jun-2026
FORTUNATE COOKIES PTY LTD,Northern Territory DAMA,17-Aug-2021,16-Aug-2026
Frew Foods International Pty Ltd,Industry - Meat,17-Jun-2021,16-Jun-2026
FRUIT MASTER FARM OPERATIONS PTY LTD,Industry - Horticulture,08-Sep-2021,07-Sep-2026
GCI Consulting Pty Ltd,Industry - On-Hire,16-Jun-2021,15-Jun-2026
GILLEBRI COTTON CO PTY LTD,Industry - Horticulture,23-Jul-2021,22-Jul-2026
GLOBAL MISSION CHURCH OF GOLD COAST,Industry - Minister of Religion,04-Aug-2021,03-Aug-2026
GOLD COAST CHINESE CHRISTIAN CHURCH INC,Industry - Minister of Religion,16-Jun-2021,15-Jun-2026
GOLDEN CUP PTY. LTD.,Great South Coast DAMA,17-Aug-2021,16-Aug-2026
HAPPY GARDENS DARWIN CENTRAL PTY LTD,Northern Territory DAMA,16-Jun-2021,15-Jun-2026
Holmelea Farm Trust,Great South Coast DAMA,02-Aug-2021,01-Aug-2026
HRSG Australasia Pty Ltd,Northern Territory DAMA,29-Jul-2021,28-Jul-2026
ICOMPLY HORTICULTURAL COMPLIANCE SPECIALISTS PTY LIMITED,Industry - Horticulture,30-Jul-2021,29-Jul-2026
IQRA YOUTH WELFARE CENTRE INC.,Industry - Minister of Religion,02-Sep-2021,01-Sep-2026
Islamic Charitable Organisation Pty Ltd,Industry - Minister of Religion,26-Aug-2021,25-Aug-2026
ISphere Global Pty Ltd,GTS - Established business,13-Sep-2021,12-Sep-2026
J & N HAW UT PTY LTD,Industry - Horticulture,16-Jun-2021,15-Jun-2026
J.V MORGAN FRENCH & C.A MORGAN-FRENCH,Industry - Dairy,16-Jul-2021,15-Jul-2026
JAS Trawl Pty Ltd,Industry - Fishing,03-Jun-2021,02-Jun-2026
JJL (NT) PTY LTD,Northern Territory DAMA,25-Aug-2021,24-Aug-2026
K Food Land Pty Ltd,Northern Territory DAMA,02-Sep-2021,01-Sep-2026
KALREGAL PTY LTD,Industry - Horticulture,09-Aug-2021,08-Aug-2026
KANDASAMY (NT) PTY LTD,Northern Territory DAMA,11-Aug-2021,10-Aug-2026
Kyvalley Farms Pty Ltd,Industry - Dairy,02-Sep-2021,01-Sep-2026
Landy Centre Cairns Pty Ltd.,Far North Queensland DAMA,06-Sep-2021,05-Sep-2026
Leigh Presbyterian Charge,Industry - Minister of Religion,23-Jul-2021,22-Jul-2026
LIBERTY CHURCH INC,Industry - Minister of Religion,19-Aug-2021,18-Aug-2026
LOBETHAL ABATTOIRS PTY LTD,Industry - Meat,22-Sep-2021,21-Sep-2026
M & H ACOCKS PTY LTD,Industry - Dairy,05-Aug-2021,04-Aug-2026
M.A NEVILL & T.L NEVILL,Great South Coast DAMA,07-Sep-2021,06-Sep-2026
MACEDONIAN ORTHODOX COMMUNITY OF THE CITY OF GREATER WOLLONGONG 'SAINT DIMITRIJA SOLUNSKI',Industry - Minister of Religion,01-Jul-2021,30-Jun-2026
MAF INTERNATIONAL,Company Specific,24-Jun-2021,23-Jun-2026
Maranello Trading Pty Ltd,South Australia Regional DAMA,17-May-2021,16-May-2026
MATT HOLMES CONCRETE& STEEL FIXING PTY LTD,Northern Territory DAMA,07-Jun-2021,06-Jun-2026
MAX CRANE & EQUIPMENT HIRE (SA) PTY LTD,Company Specific,22-Jun-2021,21-Jun-2026
MEDIABRANDS AUSTRALIA PTY LTD,Industry - Advertising,20-Jul-2021,19-Jul-2026
MELBOURNE HOSANNA CHURCH OF CHRIST,Industry - Minister of Religion,17-Jun-2021,16-Jun-2026
Mt Boothby Pastoral Co Pty Limited,South Australia Regional DAMA,09-Aug-2021,08-Aug-2026
MYUNGSUNG PRESBYTERIAN CHURCH OF SYDNEY INC,Industry - Minister of Religion,18-Aug-2021,17-Aug-2026
NB AUTOMOTIVE PTY LTD,Northern Territory DAMA,07-Sep-2021,06-Sep-2026
NINTH TEPELUX PTY LTD,Industry - Horticulture,28-May-2021,27-May-2026
NIXIL PTY LTD,Company Specific,06-Jul-2021,05-Jul-2026
NORTHERN BEACHES PRESBYTERIAN CHURCH,Industry - Minister of Religion,20-Sep-2021,19-Sep-2026
NORTHERN COOPERATIVE MEAT COMPANY LTD,Industry - Meat,19-Apr-2021,18-Apr-2026
ONE STONE WORKS PTY LTD,Northern Territory DAMA,15-Jul-2021,14-Jul-2026
Ormeggio Pty Ltd,Industry – Premium Dining,08-Jul-2021,07-Jul-2026
Oven Fresh Bakers PTY LTD,Northern Territory DAMA,06-Sep-2021,05-Sep-2026
Parramatta Islamic Cultural Association Incorporated,Industry - Minister of Religion,08-Jul-2021,07-Jul-2026
Pegasus International Logistics Pty Ltd,Adelaide City Tech and Innovation DAMA,05-Aug-2021,04-Aug-2026
PENINSULA HEALTH,Company Specific,04-Aug-2021,03-Aug-2026
"PHAM, THI BACH TUYET",Northern Territory DAMA,19-Jul-2021,18-Jul-2026
PILU AT FRESHWATER PTY LTD,Industry – Premium Dining,03-Aug-2021,02-Aug-2026
PUBLICIS COMMUNICATIONS AUSTRALIA PTY LTD,Industry - Advertising,03-Aug-2021,02-Aug-2026
PUBLICIS MEDIA AUSTRALIA PTY LTD,Industry - Advertising,03-Aug-2021,02-Aug-2026
J F & A M Boyd,Great South Coast DAMA,28-Jul-2021,27-Jul-2026
RALPHS MEAT COMPANY PTY LTD,Industry - Meat,09-Jul-2021,08-Jul-2026
REFINITIV AUSTRALIA PTY LIMITED,GTS - Established business,14-Jul-2021,13-Jul-2026
Rema Tip Top Industrie Pty Ltd,Company Specific,09-Jun-2021,08-Jun-2026
ROD PILON TRANSPORT PTY LTD,Orana DAMA,05-Aug-2021,04-Aug-2026
ROSENC Pty Ltd,Industry - Fishing,22-Sep-2021,21-Sep-2026
Safran Helicopter Engines Australia Pty Ltd,Company Specific,26-Jul-2021,25-Jul-2026
SEA HARVEST FISHING COMPANY PTY LTD,Industry - Fishing,16-Aug-2021,15-Aug-2026
SEVEN FIELDS PTY LTD,Industry - Horticulture,30-Aug-2021,29-Aug-2026
Solidarity Cleaning Services Pty Ltd,Northern Territory DAMA,02-Aug-2021,01-Aug-2026
SOUSEIKAI INTERNATIONAL PTY. LTD.,Company Specific,06-Sep-2021,05-Sep-2026
Sunpork Consolidated Pty Ltd,Industry - Pork,25-May-2021,24-May-2026
